127.0.0.1 - - [06/Nov/2024:10:45:54 +0100] "GET /favicon.ico HTTP/1.1" 404 699
127.0.0.1 - - [06/Nov/2024:10:45:54 +0100] "GET /example-webapp/Ejemplo17.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:45:55 +0100] "GET /example-webapp/Ejemplo17.jsp?invalidaSesion=Invalida+Sesion HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:45:56 +0100] "GET /example-webapp/Ejemplo17.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:45:56 +0100] "GET /example-webapp/Ejemplo17.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:45:56 +0100] "GET /example-webapp/Ejemplo17.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:45:56 +0100] "GET /example-webapp/Ejemplo17.jsp?recargarPage=Recarga+P%C3%A1gina HTTP/1.1" 200 323
127.0.0.1 - - [06/Nov/2024:10:53:18 +0100] "GET /example-webapp/Include.jsp HTTP/1.1" 200 384
127.0.0.1 - - [06/Nov/2024:10:53:20 +0100] "GET /example-webapp/Include.jsp HTTP/1.1" 200 384
127.0.0.1 - - [06/Nov/2024:10:53:41 +0100] "GET /example-webapp/Include.jsp HTTP/1.1" 200 384
127.0.0.1 - - [06/Nov/2024:11:27:47 +0100] "GET /example-webapp/Primero.jsp HTTP/1.1" 200 146
127.0.0.1 - - [06/Nov/2024:11:28:08 +0100] "GET /example-webapp/Primero.jsp?arg1=1&arg2=22 HTTP/1.1" 200 141
127.0.0.1 - - [06/Nov/2024:11:38:35 +0100] "GET /example-webapp/Index.jsp HTTP/1.1" 500 2756
